File,Expected,Pred_bow,Pred_bow_ngrams,Pred_ner_bow,Pred_tfidf,Pred_tfidf_ngrams
g0pB_taskd.txt,light,heavy,heavy,light,heavy,heavy
g0pD_taskb.txt,light,light,light,non,light,light
g2pA_taske.txt,non,non,non,cut,non,non
g4pE_taskb.txt,light,light,light,non,non,non
g2pE_taska.txt,heavy,light,light,light,cut,light
g0pB_taskb.txt,non,non,non,non,non,non
g2pC_taska.txt,cut,light,light,heavy,light,cut
g3pA_taskd.txt,cut,heavy,heavy,light,heavy,heavy
g2pA_taskc.txt,light,light,light,heavy,heavy,heavy
g0pA_taske.txt,non,non,non,cut,non,non
g3pC_taska.txt,cut,cut,cut,non,cut,cut
g1pB_taskd.txt,light,cut,heavy,light,heavy,non
g0pC_taskc.txt,non,light,light,non,non,non
g1pA_taskb.txt,heavy,non,non,non,non,non
g4pD_taskc.txt,non,light,light,heavy,heavy,non
g0pE_taskd.txt,non,non,non,non,non,non
g1pD_taskb.txt,cut,cut,cut,cut,cut,cut
g2pB_taskc.txt,heavy,heavy,heavy,heavy,heavy,heavy
g4pD_taska.txt,light,light,light,light,light,light
g4pE_taske.txt,non,light,non,light,light,non
g0pE_taske.txt,cut,cut,cut,cut,light,light
g3pA_taskb.txt,heavy,non,non,non,non,non
g2pC_taskc.txt,non,light,non,heavy,heavy,non
g0pA_taskd.txt,heavy,cut,cut,light,cut,cut
g4pB_taskb.txt,non,non,non,non,non,non
g2pA_taska.txt,non,non,non,heavy,non,non
g0pB_taske.txt,heavy,cut,cut,light,light,cut
g1pB_taskb.txt,non,non,non,non,non,non
g1pB_taske.txt,cut,light,light,light,light,light
