File,Expected,Pred_bow,Pred_bow_ngrams,Pred_ner_bow,Pred_tfidf,Pred_tfidf_ngrams
g0pB_taskd.txt,light,non,non,non,non,non
g0pD_taskb.txt,light,non,non,non,non,non
g2pA_taske.txt,non,non,non,non,non,non
g4pE_taskb.txt,light,non,non,non,non,non
g2pE_taska.txt,heavy,non,non,non,non,non
g0pB_taskb.txt,non,non,non,non,non,non
g2pC_taska.txt,cut,non,non,non,non,non
g3pA_taskd.txt,cut,non,non,non,non,non
g2pA_taskc.txt,light,non,non,non,non,non
g0pA_taske.txt,non,non,non,non,non,non
g3pC_taska.txt,cut,non,non,non,non,non
g1pB_taskd.txt,light,non,non,non,non,non
g0pC_taskc.txt,non,non,non,non,non,non
g1pA_taskb.txt,heavy,non,non,non,non,non
g4pD_taskc.txt,non,non,non,non,non,non
g0pE_taskd.txt,non,non,non,non,non,non
g1pD_taskb.txt,cut,non,non,non,non,non
g2pB_taskc.txt,heavy,non,non,non,non,non
g4pD_taska.txt,light,non,non,non,non,non
g4pE_taske.txt,non,non,non,non,non,non
g0pE_taske.txt,cut,non,non,non,non,non
g3pA_taskb.txt,heavy,non,non,non,non,non
g2pC_taskc.txt,non,non,non,non,non,non
g0pA_taskd.txt,heavy,non,non,non,non,non
g4pB_taskb.txt,non,non,non,non,non,non
g2pA_taska.txt,non,non,non,non,non,non
g0pB_taske.txt,heavy,non,non,non,non,non
g1pB_taskb.txt,non,non,non,non,non,non
g1pB_taske.txt,cut,non,non,non,non,non
